Order Number,Customer,Date,Price
1001,John Smith,2026-01-05,250.50
1002,Emma Johnson,2026-01-08,120.00
1003,Michael Brown,2026-01-10,89.99
1004,John Smith,2026-01-12,540.75
1005,Daniel Wilson,2026-01-15,310.40
1006,Emma Johnson,2026-01-18,150.20
1007,James Anderson,2026-01-20,99.90
1008,Isabella Thomas,2026-01-22,420.00
1009,Michael Brown,2026-01-25,75.60
1010,Mia Martin,2026-01-27,610.30
1011,Benjamin Lee,2026-02-01,180.45
1012,Emma Johnson,2026-02-03,230.00
1013,Lucas Harris,2026-02-05,145.99
1014,John Smith,2026-02-07,390.10
1015,Michael Brown,2026-02-10,510.80
